[22:32:53] [INFO] received Windows console close event; shutting log-core down
[22:34:56] [INFO] received Windows console close event; shutting log-core down
[22:34:58] [INFO] received Windows console close event; shutting log-core down
[22:58:00] [INFO] received Windows console close event; shutting log-core down
[22:59:51] [INFO] received Windows console close event; shutting log-core down
[23:00:00] [INFO] received Windows console close event; shutting log-core down
[23:00:25] [INFO] received Windows console close event; shutting log-core down
[23:00:40] [INFO] received Windows console close event; shutting log-core down
[23:25:03] [INFO] received Windows console close event; shutting log-core down
[23:25:25] [INFO] received Windows console close event; shutting log-core down
[23:26:22] [INFO] received Windows console close event; shutting log-core down
[23:26:50] [INFO] received Windows console close event; shutting log-core down
[23:27:16] [INFO] received Windows console close event; shutting log-core down
[23:38:22] [INFO] received Windows console close event; shutting log-core down
[23:42:22] [INFO] received Windows console close event; shutting log-core down
[23:43:39] [INFO] received Windows console close event; shutting log-core down
[23:43:53] [INFO] received Windows console close event; shutting log-core down
[23:45:38] [INFO] received Windows console close event; shutting log-core down
[23:49:38] [INFO] received Windows console close event; shutting log-core down
[23:51:44] [INFO] received Windows console close event; shutting log-core down
[15:05:34] [INFO] received Windows console close event; shutting log-core down
[15:06:19] [INFO] received Windows console close event; shutting log-core down
[15:09:33] [INFO] received Windows console close event; shutting log-core down
[15:09:41] [INFO] received Windows console close event; shutting log-core down
[15:12:40] [INFO] received Windows console close event; shutting log-core down
[15:28:54] [INFO] received Windows console close event; shutting log-core down
[19:05:53] [INFO] received Windows console close event; shutting log-core down
