[2019.08.17|19:38:29][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.08.19|14:39:16][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Динамо
[2019.08.19|14:39:33][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Зенит
[2019.08.19|14:39:38][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.08.19|14:42:31][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.08.19|14:47:05][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.08.19|20:53:08][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.08.19|22:01:20][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Динамо
[2019.08.19|22:01:30][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК ЦСКА
[2019.08.19|22:01:38][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Федеральная Служба Исполнения Наказания
[2019.08.19|22:01:41][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Воздушно Десантные Войска
[2019.08.20|03:48:02][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Динамо
[2019.08.20|04:13:09][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Воздушно Десантные Войска
[2019.08.20|04:13:26][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Динамо
[2019.08.20|04:13:41][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Воздушно Десантные Войска
[2019.08.20|05:23:35][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Спартак
[2019.08.20|15:23:53][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.08.20|16:03:46][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба
[2019.08.21|12:08:13][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Спартак
[2019.08.21|12:08:26][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Дорожно Патрульная Служба
[2019.08.21|19:38:30][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба
[2019.08.21|19:39:00][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Дорожно Патрульная Служба
[2019.09.08|15:50:29][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.09.08|15:50:57][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Дорожно Патрульная Служба
[2019.10.12|16:14:33][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Центрально Городская Больница г.Южный
[2019.10.12|20:45:28][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.10.12|22:24:29][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.10.12|22:24:39][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба
[2019.10.12|22:27:36][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.10.19|18:01:51][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области
[2019.10.19|18:41:56][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба
[2019.10.19|18:42:01][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба
[2019.10.19|19:01:36][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2019.10.20|12:33:33][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2019.10.20|13:11:00][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Министерство Здравоохранения г.Южный (МЗ-Ю)
[2019.10.21|15:37:18][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2019.11.03|21:28:15][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2019.11.04|07:38:16][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Дорожно Патрульная Служба (ДПС)
[2019.11.24|07:11:05][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2019.11.24|09:16:57][A] Ruslan_Omegov [0] назначил Ruslan_Omegov лидером организации: ФК Спартак
[2019.11.24|09:39:51][A] Roma_Omegov [0] назначил Ruslan_Omegov лидером организации: Дорожно Патрульная Служба (ДПС)
[2019.11.24|09:40:00][A] Roma_Omegov [0] назначил Ruslan_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2019.11.24|10:23:53][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Дорожно Патрульная Служба (ДПС)
[2019.12.27|14:26:25][A] Folinq_Weard [0] назначил Folinq_Weard лидером организации: Дорожно Патрульная Служба (ДПС)
[2019.12.30|15:47:05][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Администрация Области (АО)
[2019.12.30|22:00:07][A] Roma_Omegov [1] назначил Roma_Omegov лидером организации: Армия Военно Морского Флота (АВМФ)
[2019.12.30|22:00:21][A] Roma_Omegov [1] назначил Roma_Omegov лидером организации: Средство Массовой Информации (СМИ)
[2020.01.06|09:17:21][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Динамо
[2020.01.06|09:17:27][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: ФК Динамо
[2020.01.06|09:26:21][A] Roma_Omegov [0] назначил Roma_Omegov лидером организации: Патрульно Постовая Служба (ППС)
[2020.01.10|09:07:35][A] Folinq_Weard [0] назначил Folinq_Weard лидером организации: ФК Спартак
[2020.01.10|09:09:55][A] Folinq_Weard [0] назначил Folinq_Weard лидером организации: ФК Спартак
